LN_IC50,Gene Expression,Copy Number Alterations (CNA),Methylation,TARGET,TARGET_PATHWAY,DRUG_NAME_x,CELL_LINE_NAME,TCGA_DESC,"Cancer Type
(matching TCGA label)","GDSC
Tissue descriptor 1","GDSC
Tissue
descriptor 2",Screen Medium,Growth Properties
4.706974,1,1,1,174,20,148,256,26,26,14,25,0,0
3.750487,1,1,1,131,18,25,139,9,9,11,10,1,0
3.359706,1,1,1,155,16,109,105,25,25,8,20,1,2
2.263753,1,1,1,52,4,194,792,15,15,2,16,0,0
5.308653,1,1,1,179,1,123,450,25,25,8,20,1,2
-1.093261,1,1,1,148,16,65,255,23,23,13,31,0,0
3.536267,1,1,1,33,5,107,359,24,24,16,32,1,0
4.284637,1,1,1,168,23,172,517,19,19,6,26,1,0
2.758605,1,1,1,63,9,230,36,28,28,15,34,1,0
1.649563,1,1,1,154,4,223,631,6,6,4,14,0,0
1.971352,1,1,1,75,3,236,613,23,23,13,31,0,0
5.095471,1,1,1,91,17,188,140,9,9,11,10,1,0
0.713688,1,1,1,147,16,243,537,25,25,8,20,1,2
5.772584,1,1,1,66,11,86,698,15,15,2,16,1,0
-1.771929,1,1,1,31,5,120,223,12,12,5,4,0,2
2.275432,1,1,1,67,4,100,341,20,20,10,27,1,2
4.214096,0,1,0,52,4,194,778,11,11,3,13,1,0
4.381017,1,1,1,86,16,38,159,3,3,1,6,1,0
6.056789,1,1,1,123,10,187,594,23,23,13,31,0,0
4.778368,1,1,1,138,22,124,742,8,8,0,29,0,0
4.254883,1,1,1,20,3,33,610,1,1,5,21,1,2
4.265485,1,1,1,80,16,108,513,19,19,6,26,1,0
3.135723,1,1,1,123,10,187,370,25,25,8,20,1,2
2.378973,1,1,1,54,8,161,700,6,6,4,14,1,0
1.443789,1,1,1,83,12,151,9,9,9,11,10,0,0
3.202989,1,1,1,5,18,115,410,14,14,11,10,0,0
-1.637374,1,1,1,148,16,65,511,19,19,6,26,1,0
5.010679,1,1,1,90,17,117,190,16,16,7,17,1,0
1.56882,1,1,1,86,16,38,753,12,12,5,4,1,2
2.449801,1,1,1,104,20,199,566,27,27,2,33,0,0
0.860475,1,1,1,63,9,230,230,23,23,13,31,0,0
6.822158,1,1,1,172,19,163,683,22,22,16,30,1,0
2.741602,1,1,1,22,1,232,19,30,30,7,18,0,0
-5.349092,1,1,1,113,15,234,414,1,1,5,21,1,2
5.709739,1,1,1,89,16,177,158,3,3,1,6,1,0
5.494882,1,1,1,115,18,207,731,6,6,4,14,0,0
3.429651,1,1,1,183,18,13,582,22,22,16,30,1,0
3.733723,1,1,1,58,4,2,714,1,1,5,21,1,2
-4.542488,1,1,1,29,9,63,178,26,26,14,25,0,0
4.36313,1,1,1,97,9,121,217,6,6,4,14,1,0
2.450433,1,1,1,78,3,165,40,7,7,9,0,1,2
1.767456,1,1,1,160,17,41,707,7,7,9,0,1,2
1.876086,0,1,0,41,2,185,423,1,1,5,15,1,2
5.103258,1,1,1,11,10,227,531,17,17,7,19,1,0
3.754355,1,1,1,63,9,230,508,19,19,6,26,1,0
2.733062,0,1,1,165,7,116,154,6,6,4,14,0,0
4.351078,1,1,1,158,17,173,190,16,16,7,17,1,0
5.135452,1,1,1,138,22,241,357,9,9,11,10,0,0
7.087949,1,1,1,115,18,207,460,16,16,7,17,1,0
2.607852,1,1,1,123,10,154,650,7,7,9,0,1,2
1.004548,1,1,1,40,2,18,330,8,8,0,29,1,0
3.08316,1,1,1,137,4,101,425,26,26,14,25,0,0
4.251344,1,1,1,58,4,2,787,9,9,11,10,0,0
1.842014,1,1,1,166,7,147,317,23,23,13,31,1,0
4.450039,0,1,0,127,18,7,423,1,1,5,15,1,2
2.273936,1,1,1,69,20,15,385,3,3,1,6,0,0
4.926915,1,1,1,0,16,245,162,16,16,7,17,0,0
2.98467,1,1,1,19,16,0,163,13,13,5,8,1,2
0.522459,1,1,1,130,18,87,743,8,8,0,29,0,0
0.868793,1,1,1,160,17,41,562,7,7,9,0,0,2
3.916812,1,1,1,55,8,131,456,16,16,7,17,1,0
4.224926,1,1,1,18,7,83,172,8,8,0,29,1,0
2.649243,1,1,1,75,3,236,480,16,16,7,17,1,0
-4.240735,1,1,1,165,7,196,294,7,7,9,0,1,2
5.052334,1,1,1,55,8,26,587,22,22,16,30,0,0
5.305333,1,1,1,179,1,123,644,10,10,0,12,1,0
3.078297,1,1,1,105,20,60,126,30,30,7,18,1,0
4.932817,1,1,1,161,10,37,602,24,24,16,32,0,0
3.476513,1,1,1,50,16,1,728,22,22,16,30,0,0
-2.27204,1,1,1,110,18,183,584,22,22,16,30,1,0
5.408728,1,1,1,30,5,106,23,16,16,7,17,0,0
2.294993,1,1,1,54,8,82,22,11,11,3,13,0,0
7.003215,1,1,1,118,17,99,530,19,19,6,26,1,1
5.800469,1,1,1,162,16,130,4,2,2,16,1,1,0
3.801158,1,1,1,116,16,176,182,27,27,2,33,0,0
3.362849,1,1,1,54,8,104,632,7,7,9,0,1,2
-0.578315,1,1,1,30,5,158,247,3,3,1,6,0,0
-2.417196,1,1,1,165,7,217,300,1,1,5,22,1,2
-1.326047,1,1,1,79,19,136,533,25,25,8,20,1,2
2.59699,1,1,1,11,10,22,339,8,8,0,29,1,0
4.908546,1,1,1,48,7,162,710,7,7,9,0,1,2
2.918589,1,1,1,128,18,178,494,30,30,7,18,1,0
5.799996,1,1,1,81,14,4,668,26,26,14,25,0,2
3.188334,1,1,1,153,18,168,202,3,3,1,6,1,0
5.98551,1,1,1,11,10,228,768,26,26,14,25,1,0
-2.895003,0,1,1,165,7,57,306,28,28,15,34,1,0
5.313529,1,1,1,15,7,61,232,10,10,0,12,0,0
1.209396,1,1,1,70,17,134,640,2,2,16,1,0,0
3.962648,1,1,1,138,22,241,163,13,13,5,8,1,2
2.631068,1,1,1,54,8,104,257,26,26,14,25,0,0
3.35223,1,1,1,103,9,200,5,2,2,16,1,0,0
-2.055105,1,1,1,29,9,171,671,26,26,14,25,0,0
4.752006,1,1,1,162,16,130,663,6,6,4,14,1,0
6.141275,1,1,1,48,7,215,479,25,25,8,20,0,0
4.430503,1,1,0,59,4,54,246,22,22,16,30,1,0
5.000702,1,1,1,115,18,207,780,26,26,14,25,0,0
1.055647,1,1,1,54,8,82,680,21,21,12,28,0,0
3.529127,1,1,0,138,22,124,280,10,10,0,12,1,0
8.637876,1,1,1,66,11,86,588,22,22,16,30,1,0
3.939687,1,1,0,108,10,146,310,20,20,10,27,1,2
-1.398123,1,1,1,37,20,204,599,23,23,13,31,1,0
3.825554,1,1,1,164,22,238,399,3,3,1,6,0,0
6.838239,1,1,1,80,16,108,90,6,6,4,14,0,0
2.246143,1,1,1,21,1,237,433,21,21,12,28,0,0
-4.359747,1,1,1,148,16,65,335,8,8,0,29,1,0
6.971456,1,1,1,48,7,215,783,26,26,14,25,1,0
4.942374,1,1,1,134,18,56,46,11,11,3,13,0,0
5.168532,1,1,1,174,20,148,212,3,3,1,6,1,2
5.037996,1,1,1,174,20,148,743,8,8,0,29,0,0
1.177795,1,1,1,7,18,27,237,2,2,16,1,0,0
2.173773,1,1,1,52,4,194,36,28,28,15,34,1,0
5.397795,1,1,1,120,20,12,443,25,25,8,20,0,2
5.508252,1,1,1,174,20,148,640,2,2,16,1,0,0
6.322291,1,1,1,48,7,162,627,16,16,7,17,1,0
4.42704,1,1,1,151,18,125,743,8,8,0,29,0,0
3.621782,1,1,1,35,3,156,15,30,30,16,30,1,1
5.149276,1,1,1,49,7,59,270,15,15,2,16,0,0
1.845098,1,1,1,11,10,22,63,26,26,14,25,0,0
1.269733,1,1,1,130,18,87,520,19,19,6,26,1,0
3.39852,1,1,1,131,18,25,684,4,4,16,7,0,0
-5.662614,1,1,1,113,15,234,406,12,12,5,4,1,2
-0.620449,1,1,1,136,2,36,762,30,30,16,30,0,0
2.086335,1,1,1,18,7,145,495,25,25,8,20,1,0
5.815051,1,1,1,65,11,211,441,11,11,3,13,0,0
4.240947,1,1,1,30,5,158,150,24,24,16,32,0,0
6.904348,1,1,1,174,20,148,728,22,22,16,30,0,0
-5.712226,1,1,1,76,3,186,173,28,28,15,34,0,0
3.222339,0,1,1,64,11,85,196,25,25,8,20,1,0
3.798473,1,1,1,158,17,80,517,19,19,6,26,1,0
2.203065,1,1,1,43,5,47,733,4,4,16,7,0,0
1.155348,1,1,1,23,1,197,327,30,30,16,30,1,0
-1.84227,1,1,1,165,7,57,380,3,3,1,6,0,0
2.531303,1,1,1,54,8,14,45,2,2,16,1,0,0
3.428427,1,1,1,8,17,17,617,7,7,9,0,1,2
4.02313,1,1,1,168,23,172,53,3,3,1,6,0,0
-6.984465,1,1,1,114,15,70,607,10,10,0,12,1,0
6.027292,1,1,1,41,2,175,66,3,3,1,6,0,0
1.641808,1,1,1,52,4,194,533,25,25,8,20,1,2
1.282555,1,1,1,175,16,229,336,8,8,0,29,1,0
7.04648,1,1,0,5,18,115,717,25,25,8,20,0,0
5.172365,1,1,1,52,4,74,486,25,25,8,20,1,2
3.352197,1,1,1,138,22,124,307,12,12,5,4,1,2
6.065092,1,1,1,32,5,182,208,3,3,1,6,1,0
3.547198,1,1,1,62,9,76,61,4,4,16,7,0,0
5.546508,1,1,1,123,10,231,672,26,26,14,25,1,0
6.148484,1,1,1,167,23,139,546,27,27,2,33,1,0
5.23196,1,1,1,163,20,190,67,30,30,7,18,0,0
-1.747312,1,0,1,26,1,159,272,15,15,2,16,0,0
4.955934,1,1,1,151,18,125,389,3,3,1,6,0,0
-0.169509,1,1,0,75,3,236,563,7,7,9,0,0,2
6.971122,1,1,1,48,7,215,644,10,10,0,12,1,0
5.758747,1,1,1,52,4,74,257,26,26,14,25,0,0
1.387501,1,1,1,176,2,240,71,10,10,0,12,0,0
2.264992,1,1,1,93,17,10,261,27,27,2,33,1,0
-3.842493,1,1,1,165,7,57,461,25,25,8,20,0,2
3.158644,1,1,1,7,18,91,221,12,12,5,4,1,1
3.227424,1,1,1,171,19,143,297,12,12,5,4,1,2
-4.248258,1,0,1,142,19,45,721,11,11,3,13,0,0
5.713793,1,1,1,48,7,162,447,16,16,7,17,0,1
2.686654,1,1,1,50,16,1,170,3,3,1,6,0,0
4.716541,1,1,1,167,23,139,18,7,7,9,0,1,2
1.712037,0,1,1,180,1,19,41,7,7,9,0,1,2
6.077172,1,1,1,120,20,12,747,8,8,0,29,0,0
6.111234,1,1,1,141,5,170,335,8,8,0,29,1,0
2.594241,1,1,1,69,20,167,117,12,12,5,4,1,2
5.478071,1,1,1,61,9,225,506,30,30,7,18,1,0
0.414716,0,1,1,116,16,176,235,7,7,9,0,1,2
1.088585,1,1,1,160,17,41,437,21,21,12,28,0,0
0.941727,1,1,1,123,10,210,753,12,12,5,4,1,2
3.464154,1,1,1,24,1,3,59,23,23,13,31,1,0
0.853938,0,1,1,147,16,243,449,16,16,7,17,1,0
4.355648,1,1,1,103,9,200,600,23,23,13,31,1,0
0.644172,1,1,1,103,9,200,363,26,26,14,25,1,1
2.48267,1,1,1,20,3,6,73,3,3,1,6,0,0
5.151554,1,1,1,19,16,0,257,26,26,14,25,0,0
6.279227,1,1,1,97,9,121,92,6,6,4,14,1,2
1.3866,1,1,1,53,17,102,552,27,27,2,33,1,0
2.642171,1,1,1,11,10,228,434,21,21,12,28,0,0
3.236676,1,1,1,4,18,8,676,17,17,7,19,0,0
4.382589,1,1,1,11,10,228,109,30,30,6,2,1,2
1.348404,1,1,1,71,7,180,636,1,1,5,21,1,2
4.873683,1,1,1,155,16,109,626,27,27,2,33,1,0
3.042732,1,1,1,120,20,12,36,28,28,15,34,1,0
5.825418,1,1,1,123,10,160,54,3,3,1,6,1,0
5.120477,1,1,1,32,5,182,738,9,9,11,10,0,0
3.419921,1,1,1,173,20,58,314,14,14,11,10,0,0
5.151515,1,1,1,141,5,170,61,4,4,16,7,0,0
-0.073584,1,1,1,21,1,237,219,3,3,1,6,0,0
3.321294,1,1,1,111,18,157,696,6,6,4,14,1,0
5.740012,1,1,1,139,16,98,768,26,26,14,25,1,0
2.226408,1,1,1,54,8,161,711,23,23,13,31,1,0
4.009831,1,1,0,38,2,181,111,25,25,8,20,1,0
5.876093,1,1,1,80,16,108,49,10,10,0,12,0,0
5.105075,1,1,1,48,7,162,192,11,11,3,13,0,0
4.871323,1,1,1,33,5,107,92,6,6,4,14,1,2
-0.707872,1,1,1,132,18,48,260,20,20,10,27,1,2
5.411237,1,1,1,179,1,123,60,4,4,16,7,0,0
2.913669,1,1,1,61,9,225,442,25,25,8,20,0,0
2.015289,1,1,1,91,17,118,559,12,12,5,4,0,2
5.257328,1,1,1,137,4,101,274,15,15,2,16,0,0
0.504315,1,1,1,170,17,221,534,25,25,8,20,1,2
2.40521,1,1,1,4,18,8,431,21,21,12,28,0,0
5.817981,1,1,1,29,9,171,648,10,10,0,12,0,0
4.618703,1,1,1,6,18,141,515,19,19,6,26,1,0
-3.988433,1,1,1,117,14,67,446,16,16,7,17,0,0
0.574205,1,1,1,24,1,3,299,13,13,5,8,1,2
1.466323,1,1,1,136,2,36,215,3,3,1,6,1,0
4.698718,1,1,1,118,17,99,371,25,25,8,20,1,2
3.591052,1,1,1,54,8,104,213,6,6,4,14,1,0
4.666924,1,1,1,29,9,171,8,11,11,3,13,1,0
0.504135,1,1,1,147,16,243,527,25,25,8,20,1,1
-2.637443,1,1,1,103,9,219,732,6,6,4,14,0,0
0.257606,1,1,1,114,15,70,357,9,9,11,10,0,0
6.8098,1,1,1,16,16,30,602,24,24,16,32,0,0
3.179206,1,1,1,108,10,146,19,30,30,7,18,0,0
4.99029,1,1,1,82,14,5,279,10,10,0,12,1,0
1.92278,1,1,1,111,18,24,614,23,23,13,31,1,0
5.623387,1,1,1,139,16,98,396,29,29,16,9,0,0
3.382135,1,1,1,103,9,200,110,25,25,8,20,1,0
3.400408,1,1,1,7,18,27,214,3,3,1,6,1,0
5.876926,1,1,1,167,23,139,673,26,26,14,25,1,0
5.650862,1,1,1,123,10,160,346,26,26,14,25,0,0
5.874191,0,1,0,150,17,195,777,26,26,14,25,0,0
0.178402,1,1,1,111,18,24,265,19,19,6,26,0,0
1.717674,1,1,1,64,11,85,379,7,7,9,0,1,2
-3.221521,1,1,1,17,7,81,638,1,1,5,15,1,2
0.531577,1,1,1,170,17,221,363,26,26,14,25,1,1
3.64837,1,1,1,152,16,220,654,9,9,11,10,0,0
-3.795155,1,1,1,114,15,70,12,26,26,14,25,0,0
1.956829,1,1,1,106,20,84,479,25,25,8,20,0,0
1.445566,1,1,1,54,8,14,706,7,7,9,0,1,2
3.028887,1,1,1,21,1,237,642,11,11,3,13,1,0
4.702906,1,1,1,45,2,142,744,8,8,0,29,0,2
2.632732,1,1,1,131,18,25,694,15,15,2,16,1,0
3.786868,1,1,1,59,4,54,391,12,12,5,4,1,2
2.310132,1,1,1,72,4,224,151,3,3,1,6,1,2
5.092202,1,1,1,47,19,133,567,8,8,0,29,1,0
-2.52967,1,1,1,144,7,105,144,25,25,8,20,1,2
1.606407,1,1,1,85,12,110,104,16,16,7,17,1,0
4.386364,1,1,1,94,13,119,262,21,21,12,28,1,0
1.385776,1,1,1,50,16,1,171,10,10,0,12,0,0
4.425016,1,1,1,61,9,225,396,29,29,16,9,0,0
4.877551,1,1,1,157,17,46,90,6,6,4,14,0,0
1.879943,1,1,1,183,18,13,611,18,18,11,24,1,0
4.090009,1,1,0,47,19,133,281,3,3,1,6,0,0
4.825153,1,1,1,64,11,85,541,25,25,8,20,1,2
4.08774,1,1,1,184,13,71,623,11,11,3,13,0,0
6.083838,1,1,1,162,16,130,723,2,2,16,1,0,0
5.965368,1,1,1,94,13,119,90,6,6,4,14,0,0
1.495687,1,1,1,147,16,243,444,25,25,8,20,0,2
2.971727,1,1,1,165,7,116,722,16,16,7,17,0,0
4.520556,1,1,1,21,1,237,692,27,27,2,33,1,2
3.84368,1,1,1,87,17,112,500,16,16,7,17,1,0
2.574304,1,1,1,84,12,40,8,11,11,3,13,1,0
4.570113,1,1,1,157,17,46,198,16,16,7,17,1,0
3.241985,1,1,1,20,3,6,362,1,1,5,21,1,2
-2.582234,1,1,1,44,2,23,774,7,7,9,0,1,2
0.052299,1,1,1,7,18,91,386,3,3,1,6,0,0
1.777927,0,1,1,180,1,19,306,28,28,15,34,1,0
5.246722,1,1,0,167,23,139,621,11,11,3,13,0,0
-6.015245,1,1,1,76,3,186,1,27,27,2,33,1,0
3.691299,1,1,1,101,1,20,392,4,4,16,7,0,0
6.386028,1,1,1,168,23,172,365,6,6,4,14,1,0
0.501806,1,1,1,103,9,219,344,11,11,3,13,0,0
0.60498,1,1,1,106,20,84,634,26,26,14,25,0,0
5.747778,1,1,1,29,9,171,317,23,23,13,31,1,0
6.128722,1,1,1,151,18,125,491,25,25,8,20,0,2
5.102432,1,1,1,89,16,177,107,25,25,8,20,1,2
6.045565,1,1,1,81,14,4,250,23,23,13,31,0,0
2.694244,1,1,1,34,3,34,169,8,8,0,29,1,1
5.277,1,1,1,156,16,235,450,25,25,8,20,1,2
4.269379,1,1,1,7,18,226,427,26,26,14,25,1,0
3.816338,1,1,1,29,9,63,379,7,7,9,0,1,2
4.654555,1,1,1,162,16,130,448,25,25,8,20,0,2
6.375972,1,1,1,49,7,59,460,16,16,7,17,1,0
-6.837936,1,1,1,76,3,186,178,26,26,14,25,0,0
-2.798452,1,1,1,165,7,57,350,2,2,16,1,0,0
1.679105,1,1,1,27,1,209,172,8,8,0,29,1,0
3.514934,0,1,0,124,20,31,756,27,27,2,33,1,0
-3.697956,1,1,1,103,9,219,411,12,12,5,4,1,2
4.619288,1,1,1,32,5,169,728,22,22,16,30,0,0
4.131996,1,1,0,71,7,180,290,26,26,14,25,0,0
2.19031,1,1,1,72,4,224,91,13,13,5,8,0,2
-0.55081,1,1,1,62,9,76,658,26,26,14,25,0,0
1.319854,1,1,1,43,5,47,161,20,20,10,23,0,1
-2.050081,1,1,1,12,15,28,37,10,10,0,12,0,0
1.747744,1,1,1,18,16,62,34,3,3,1,6,1,0
5.977647,1,1,1,73,21,127,543,25,25,8,20,0,0
3.143852,1,1,1,41,2,175,492,17,17,7,19,1,0
4.575766,1,1,1,20,3,33,701,6,6,4,14,1,0
1.062368,1,1,1,127,18,213,744,8,8,0,29,0,2
0.36649,1,1,1,169,10,214,234,10,10,0,12,0,0
1.960994,1,1,1,107,6,35,644,10,10,0,12,1,0
-1.673928,1,1,1,79,19,136,723,2,2,16,1,0,0
2.783566,1,1,1,64,11,85,489,16,16,7,17,1,0
3.323478,1,1,1,21,1,237,282,20,20,10,11,0,2
3.567238,1,1,1,69,20,15,58,9,9,11,10,0,0
1.975157,1,1,1,50,16,1,724,14,14,11,10,0,0
2.473757,1,1,1,7,18,27,172,8,8,0,29,1,0
-1.959427,1,1,1,37,20,204,532,16,16,7,17,1,0
4.758084,1,1,1,7,18,27,598,23,23,13,31,1,0
-0.876011,1,1,1,177,2,140,233,27,27,2,33,0,2
1.414836,1,1,1,169,10,214,216,8,8,0,29,0,0
6.141653,1,1,1,139,2,50,703,6,6,4,14,1,0
-5.140013,1,1,1,114,15,174,195,17,17,7,19,0,0
4.703811,1,1,1,121,17,239,439,21,21,12,28,0,0
1.39177,1,1,1,154,4,223,636,1,1,5,21,1,2
5.467604,1,1,1,139,2,50,426,26,26,14,25,1,0
5.919887,1,1,1,123,10,210,402,27,27,2,33,1,0
5.06977,1,1,1,159,16,205,137,23,23,13,31,1,0
8.404338,1,1,1,52,4,74,703,6,6,4,14,1,0
2.802447,1,1,1,77,3,79,185,21,21,12,28,1,0
6.400187,1,1,1,45,2,142,458,16,16,7,17,0,1
4.580689,1,1,0,145,7,132,148,22,22,16,30,0,0
-2.227608,1,1,1,79,19,136,214,3,3,1,6,1,0
5.905318,1,1,1,135,17,11,324,9,9,11,10,0,0
4.681511,1,1,1,32,5,182,5,2,2,16,1,0,0
3.625897,1,1,1,146,6,72,404,27,27,2,33,1,0
-0.119648,1,1,1,177,2,140,631,6,6,4,14,0,0
4.622419,1,1,1,90,17,117,498,17,17,7,19,1,0
-2.040984,1,1,1,14,15,218,645,25,25,8,20,1,2
1.200532,1,1,1,61,9,225,790,1,1,9,23,0,2
2.24484,1,1,0,11,10,227,310,20,20,10,27,1,2
-0.703479,1,1,1,103,9,166,250,23,23,13,31,0,0
1.393952,1,0,1,55,8,26,271,15,15,2,16,0,0
5.146526,1,1,1,32,5,169,429,21,21,12,28,1,1
4.101953,1,1,1,168,23,172,628,16,16,7,17,0,0
0.536092,1,1,1,84,12,39,518,19,19,6,26,1,0
1.914659,1,1,1,164,22,9,629,17,17,7,19,1,0
0.403056,1,1,1,61,9,225,101,26,26,14,25,1,0
7.697878,1,1,1,10,10,122,515,19,19,6,26,1,0
4.920058,1,1,1,90,17,117,395,26,26,14,25,1,0
5.436492,1,1,1,74,22,189,599,23,23,13,31,1,0
2.786572,1,1,1,54,8,14,357,9,9,11,10,0,0
5.411857,1,1,1,123,10,231,73,3,3,1,6,0,0
2.702074,1,1,1,159,16,205,16,7,7,9,0,1,2
1.809982,1,1,1,31,5,120,102,3,3,1,6,1,0
3.008435,1,1,1,164,22,238,497,16,16,7,17,1,0
1.337683,1,1,1,164,22,9,658,26,26,14,25,0,0
6.427014,1,1,1,103,9,200,150,24,24,16,32,0,0
5.317194,1,1,1,6,18,141,491,25,25,8,20,0,2
6.260745,1,1,1,91,17,118,485,16,16,7,17,0,1
3.418041,1,1,1,138,22,124,293,7,7,9,0,1,2
6.161739,1,1,1,11,10,227,298,27,27,2,33,0,1
3.727287,1,1,1,111,18,157,420,25,25,8,20,1,2
5.01511,1,1,1,134,18,56,764,20,20,10,27,1,1
6.43355,1,1,1,112,14,246,253,15,15,2,16,0,0
1.34355,0,1,1,13,15,244,321,21,21,12,28,1,1
3.546412,1,1,1,138,22,113,345,11,11,3,13,0,0
